AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/04/2019,0,0,0,12.3
2/04/2019,0,0,0,7.5
3/04/2019,0,0,0,8.5
4/04/2019,0,0,0,0.8
5/04/2019,0,0,0,0.0
6/04/2019,0,0,0,0.0
7/04/2019,0,0,0,0.0
8/04/2019,0,0,0,3.0
9/04/2019,0,0,0,0.0
10/04/2019,0,0,0,3.3
11/04/2019,0,0,0,1.3
12/04/2019,0,0,0,2.3
13/04/2019,0,0,0,0.0
14/04/2019,0,0,0,0.0
15/04/2019,0,0,0,0.0
16/04/2019,0,0,0,0.0
17/04/2019,0,0,0,0.0
18/04/2019,0,0,0,0.0
19/04/2019,0,0,0,4.5
20/04/2019,0,0,0,1.3
21/04/2019,0,0,0,0.0
22/04/2019,0,0,0,0.0
23/04/2019,0,0,0,0.0
24/04/2019,0,0,0,0.0
25/04/2019,0,0,0,0.0
26/04/2019,0,0,0,0.0
27/04/2019,0,0,0,0.0
28/04/2019,0,0,0,0.0
29/04/2019,0,0,0,0.0
30/04/2019,0,0,0,0.0
