AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/08/2019,0,0,0,0.0
2/08/2019,0,0,0,0.0
3/08/2019,0,0,0,0.0
4/08/2019,0,0,0,0.0
5/08/2019,0,0,0,0.0
6/08/2019,0,0,00.0
7/08/2019,0,0,0,0.0
8/08/2019,0,0,0,0.0
9/08/2019,0,0,0,0.0
10/08/2019,0,0,0,0.0
11/08/2019,0,0,0,0.0
12/08/2019,0,0,0,0.0
13/08/2019,0,0,0,0.0
14/08/2019,0,0,0,0.0
15/08/2019,0,0,0,0.0
16/08/2019,0,0,0,0.0
17/08/2019,0,0,0,0.0
18/08/2019,0,0,0,0.0
19/08/2019,0,0,0,0.0
20/08/2019,0,0,0,0.0
21/08/2019,0,0,0,0.0
22/08/2019,0,0,0,0.0
23/08/2019,0,0,0,0.0
24/08/2019,0,0,0,0.0
25/08/2019,0,0,0,0.0
26/08/2019,0,0,0,0.0
27/08/2019,0,0,0,0.0
28/08/2019,0,0,0,0.0
29/08/2019,0,0,0,0.0
30/08/2019,0,0,0,0.0
31/08/2019,0,0,0,0.0
