AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/02/2019,0,0,0,6.0
2/02/2019,0,0,0,0.0
3/02/2019,0,0,0,0.0
4/02/2019,0,0,0,3.7
5/02/2019,0,0,0,0.9
6/02/2019,0,0,0,6.1
7/02/2019,0,0,0,0.0
8/02/2019,0,0,0,13.3
9/02/2019,0,0,0,4.5
10/02/2019,0,0,0,4.1
11/02/2019,0,0,0,0.0
12/02/2019,0,0,0,0.5
13/02/2019,0,0,0,0.2
14/02/2019,0,0,0,8.5
15/02/2019,0,0,0,2.5
16/02/2019,0,0,0,0.0
17/02/2019,0,0,0,2.3
18/02/2019,0,0,0,6.1
19/02/2019,0,0,0,3.0
20/02/2019,0,0,0,1.7
21/02/2019,0,0,0,0.0
22/02/2019,0,0,0,0.0
23/02/2019,0,0,0,4.3
24/02/2019,0,0,0,30.5
25/02/2019,0,0,0,9.0
26/02/2019,0,0,0,2.3
27/02/2019,0,0,0,1.8
28/02/2019,0,0,0,1.9
