AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/07/2019,0,0,0,0.0
2/07/2019,0,0,0,0.0
3/07/2019,0,0,0,0.0
4/07/2019,0,0,0,0.0
5/07/2019,0,0,0,0.0
6/07/2019,0,0,0,0.0
7/07/2019,0,0,0,0.0
8/07/2019,0,0,0,0.0
9/07/2019,0,0,0,0.0
10/07/2019,0,0,0,0.0
11/07/2019,0,0,0,0.0
12/07/2019,0,0,0,0.0
13/07/2019,0,0,0,0.0
14/07/2019,0,0,0,0.0
15/07/2019,0,0,0,0.0
16/07/2019,0,0,0,0.0
17/07/2019,0,0,0,0.0
18/07/2019,0,0,0,0.0
19/07/2019,0,0,0,0.0
20/07/2019,0,0,0,0.0
21/07/2019,0,0,0,0.0
22/07/2019,0,0,0,0.0
23/07/2019,0,0,0,0.0
24/07/2019,0,0,0,0.0
25/07/2019,0,0,0,0.0
26/07/2019,0,0,0,0.0
27/07/2019,0,0,0,0.0
28/07/2019,0,0,0,0.0
29/07/2019,0,0,0,0.0
30/07/2019,0,0,0,0.0
31/07/2019,0,0,0,0.0
