AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/06/2019,0,0,0,0.0
2/06/2019,0,0,0,0.0
3/06/2019,0,0,0,0.8
4/06/2019,0,0,0,0.0
5/06/2019,0,0,0,0.0
6/06/2019,0,0,0,0.0
7/06/2019,0,0,0,0.0
8/06/2019,0,0,0,0.7
9/06/2019,0,0,0,0.0
10/06/2019,0,0,0,0.0
11/06/2019,0,0,0,0.0
12/06/2019,0,0,0,0.0
13/06/2019,0,0,0,0.0
14/06/2019,0,0,0,0.0
15/06/2019,0,0,0,0.0
16/06/2019,0,0,0,0.0
17/06/2019,0,0,0,0.0
18/06/2019,0,0,0,0.0
19/06/2019,0,0,0,0.0
20/06/2019,0,0,0,0.0
21/06/2019,0,0,0,0.0
22/06/2019,0,0,0,0.0
23/06/2019,0,0,0,0.0
24/06/2019,0,0,0,0.0
25/06/2019,0,0,0,0.0
26/06/2019,0,0,0,0.0
27/06/2019,0,0,0,0.0
28/06/2019,0,0,0,0.0
29/06/2019,0,0,0,0.0
30/06/2019,0,0,0,0.0
