AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/11/2019,0,0,0,0.8
2/11/2019,0,0,0,0.0
3/11/2019,0,0,0,0.0
4/11/2019,0,0,0,0.0
5/11/2019,0,0,0,0.0
6/11/2019,0,0,0,0.0
7/11/2019,0,0,0,0.0
8/11/2019,0,0,0,0.0
9/11/2019,0,0,0,0.0
10/11/2019,0,0,0,0.0
11/11/2019,0,0,0,0.0
12/11/2019,0,0,0,0.0
13/11/2019,0,0,0,0.0
14/11/2019,0,0,0,0.0
15/11/2019,0,0,0,0.0
16/11/2019,0,0,0,0.0
17/11/2019,0,0,0,0.0
18/11/2019,0,0,0,0.0
19/11/2019,0,0,0,0.0
20/11/2019,0,0,0,0.0
21/11/2019,0,0,0,0.0
22/11/2019,0,0,0,0.0
23/11/2019,0,0,0,0.0
24/11/2019,0,0,0,0.0
25/11/2019,0,0,0,0.0
26/11/2019,0,0,0,0.0
27/11/2019,0,0,0,0.0
28/11/2019,0,0,0,0.0
29/11/2019,0,0,0,0.0
30/11/2019,0,0,0,0.0
