AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/09/2019,0,0,0,0.0
2/09/2019,0,0,0,0.0
3/09/2019,0,0,0,0.0
4/09/2019,0,0,0,0.0
5/09/2019,0,0,0,0.0
6/09/2019,0,0,0,0.0
7/09/2019,0,0,0,0.0
8/09/2019,0,0,0,0.0
9/09/2019,0,0,0,0.0
10/09/2019,0,0,0,0.0
11/09/2019,0,0,0,0.0
12/09/2019,0,0,0,0.0
13/09/2019,0,0,0,0.0
14/09/2019,0,0,0,0.0
15/09/2019,0,0,0,0.0
16/09/2019,0,0,0,0.0
17/09/2019,0,0,0,0.0
18/09/2019,0,0,0,0.0
19/09/2019,0,0,0,0.0
20/09/2019,0,0,0,0.0
21/09/2019,0,0,0,0.0
22/09/2019,0,0,0,0.0
23/09/2019,0,0,0,0.0
24/09/2019,0,0,0,0.0
25/09/2019,0,0,0,0.0
26/09/2019,0,0,0,0.0
27/09/2019,0,0,0,0.0
28/09/2019,0,0,0,0.0
29/09/2019,0,0,0,0.0
30/09/2019,0,0,0,0.0
