AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
1/05/2019,0,0,0,0.5
2/05/2019,0,0,0,0.0
3/05/2019,0,0,0,0.0
4/05/2019,0,0,0,0.0
5/05/2019,0,0,0,0.0
6/05/2019,0,0,0,0.0
7/05/2019,0,0,0,2.5
8/05/2019,0,0,0,0.0
9/05/2019,0,0,0,0.0
10/05/2019,0,0,0,0.0
11/05/2019,0,0,0,3.2
12/05/2019,0,0,0,0.0
13/05/2019,0,0,0,0.6
14/05/2019,0,0,0,0.0
15/05/2019,0,0,0,0.0
16/05/2019,0,0,0,0.0
17/05/2019,0,0,0,0.0
18/05/2019,0,0,0,0.0
19/05/2019,0,0,0,0.0
20/05/2019,0,0,0,1.5
21/05/2019,0,0,0,0.0
22/05/2019,0,0,0,0.8
23/05/2019,0,0,0,0.0
24/05/2019,0,0,0,0.0
25/05/2019,0,0,0,5.5
26/05/2019,0,0,0,0.0
27/05/2019,0,0,0,0.0
28/05/2019,0,0,0,0.0
29/05/2019,0,0,0,0.0
30/05/2019,0,0,0,0.0
31/05/2019,0,0,0,0.0
